"id","task_id","author_id","content","created_date"
comment-1767427605621,task-1767427494731,21,help,"2026-01-03T08:06:45.621Z"
comment-1767427639662,task-1767427494731,25,what,"2026-01-03T08:07:19.662Z"
comment-1768374621687,task-1768374412204,20,"Had the meeting, explained all the things.
They said they'll be back with a plan in about 3 days.","2026-01-14T07:10:21.687Z"
comment-1769499922282,task-1768893081777,22,Added the new Export button in the frontend and and added backend added a class to handle export,"2026-01-27T07:45:22.282Z"
comment-1769580357622,task-1768893081777,22,Added Permission to the Export button and Enabled it in the User&Roles Page.,"2026-01-28T06:05:57.622Z"
comment-1769662901946,SP-003,19,zoho API integrations wip,"2026-01-29T05:01:41.946Z"
comment-1769663081562,SP-007,20,With bug fixed by baktha and the landing page changes to dev deployed,"2026-01-29T05:04:41.562Z"
comment-1769663171438,SP-008,20,Added email notification and task id to list in the tasks.,"2026-01-29T05:06:11.438Z"
comment-1769663444118,SP-009,20,"With kaviranjini discussed the org setting flow and its fields.
Created a flow for org setting","2026-01-29T05:10:44.118Z"
comment-1769680054670,SP-015,30,Completed creating document need to discuss with Vignesh,"2026-01-29T09:47:34.670Z"
comment-1769680094227,SP-016,30,Flow has been finalized and FRD created. Need to chack with Vignesh,"2026-01-29T09:48:14.227Z"
comment-1769686808280,SP-022,19,"fixed the issue by adding threading method, now even if there are 500 employees the data will be saved","2026-01-29T11:40:08.280Z"
comment-1769686815843,SP-010,20,"Discussed about the org setting in detail, with entity, entitylocation, domain and sso connection.
User flow and role flow
There are stil some doubts but the initial and high level flow is fixed","2026-01-29T11:40:15.844Z"
comment-1769749396600,SP-003,19,API integration wip,"2026-01-30T05:03:16.600Z"
comment-1769779462336,SP-016,30,Connected with Vignesh to discuss the FRD. We got some suggestions need to update and share it with Dhanusha,"2026-01-30T13:24:22.336Z"
comment-1770009857154,SP-003,19,Management commands wip,"2026-02-02T05:24:17.154Z"
comment-1770010040076,task-1768213759401,25,feedback needed,"2026-02-02T05:27:20.076Z"
comment-1770010065224,ADD-002,22,Test,"2026-02-02T05:27:45.224Z"
comment-1770088358988,SP-035,25,test,"2026-02-03T03:12:38.988Z"
comment-1770199645232,SP-053,20,Analysed the old TPRM flow and got to now about the tables,"2026-02-04T10:07:25.232Z"
comment-1770199732785,SP-056,20,"Discussed the first phase of new TPRM flow and had some doubts.
Need to have another discussion by 6pm to fix the flow.","2026-02-04T10:08:52.785Z"
comment-1770283810696,SP-055,20,need to update the columns and create some tables to match the new requirement.,"2026-02-05T09:30:10.696Z"
comment-1770283918688,SP-054,20,"Analysed the doc,
getting to know about the feature and its details","2026-02-05T09:31:58.688Z"
comment-1770285955164,SP-063,20,"created the pipeline
when code pushed to the prod branch it'll automatically trigger actions and deploy the latest code","2026-02-05T10:05:55.164Z"
comment-1770384511063,SP-058,18,Updated the login and logout functionality changes and authentication issues fixed for refresh and access token to validate when expired.,"2026-02-06T13:28:31.063Z"
comment-1770384682663,SP-074,18,Settings module added with its sub-modules Organization data and Entity.,"2026-02-06T13:31:22.663Z"
comment-1770621456368,SP-074,18,Added PUT and POST call for the Org data and Entity.,"2026-02-09T07:17:36.368Z"
comment-1770630649034,CHG-009,22,Added pagination to uncounter the issue and now working on adding a search bar in the drive tab.,"2026-02-09T09:50:49.034Z"
comment-1770699475287,SP-088,19,Assessment module tables created,"2026-02-10T04:57:55.287Z"
comment-1770699695389,SP-087,18,Changed the Login page Logo and backgroud theme and updated the product name and logo for the whole product.,"2026-02-10T05:01:35.389Z"
comment-1770704969722,SP-065,30,Got Final DEsign still PRD is pending,"2026-02-10T06:29:29.722Z"
comment-1770959114074,SP-088,19,SSO sign in done,"2026-02-13T05:05:14.074Z"
comment-1770959139471,SP-088,19,assessment module api wip,"2026-02-13T05:05:39.471Z"
comment-1770985442103,SP-097,26,Tested in dev & stage environment ready to production.,"2026-02-13T12:24:02.103Z"
comment-1770985493496,SP-091,26,Testing done in Dev & Stage environment ready to production.,"2026-02-13T12:24:53.496Z"
comment-1770986057575,SP-111,26,Testing done in stage environment ready to production,"2026-02-13T12:34:17.575Z"
comment-1770986093471,SP-116,26,Testing done in stage environment ready to production.,"2026-02-13T12:34:53.471Z"
comment-1771218723552,SP-088,19,API's testing in progress,"2026-02-16T05:12:03.552Z"
comment-1771221418945,SP-106,26,tested ready to production.,"2026-02-16T05:56:58.945Z"
comment-1771221735049,SP-123,26,Testing done in a production environment successfully.,"2026-02-16T06:02:15.049Z"
comment-1771478899858,SP-134,19,data migration still in progress,"2026-02-19T05:28:19.858Z"
comment-1771493238839,SP-204,45,Were there for 3hours discussing reported issues with the client,"2026-02-19T09:27:18.839Z"
comment-1771565714515,SP-134,19,location table changes and user table changes done,"2026-02-20T05:35:14.515Z"
comment-1771926982053,SP-266,45,Urgent requirement,"2026-02-24T09:56:22.053Z"
comment-1772002439975,SP-235,26,The task is blocked because the development team is not available.,"2026-02-25T06:53:59.975Z"
comment-1772081627740,SP-283,30,Partially Done,"2026-02-26T04:53:47.740Z"
